Ang;dBm
0;-18,8
5;-16,4
10;-15,8
15;-15,1
20;-16,1
25;-16,8
30;-17,2
35;-19,5
40;-20,2
45;-23,2
50;-25,6
55;-28,4
60;-27,6
65;-31,4
70;-38,8
75;-44,5
80;-41,2
85;-37,5
90;-36,2
95;-39,3
100;-38,8
105;-44,5
110;-48,2
115;-46,3
120;-44,3
125;-40,2
130;-40,6
135;-40,7
140;-40,8
145;-40,8
150;-40,9
155;-38,1
160;-34,3
165;-35,2
170;-34,1
175;-36,8
180;-43,5
185;-42,9
190;-41,9
195;-38,6
200;-37,8
205;-40,5
210;-43,3
215;-50,9
220;-50,1
225;-40,5
230;-39,9
235;-37,8
240;-37,3
245;-36,8
250;-36,2
255;-35,3
260;-36,3
265;-37,6
270;-39,9
275;-39,8
280;-44,3
285;-48,2
290;-41,8
295;-34,8
300;-30,1
305;-27,1
310;-25,1
315;-26,8
320;-26,6
325;-28,2
330;-30,1
335;-33,4
340;-35,2
345;-29,4
350;-28,9
355;-27,5
360;-17,8
