Ang;dBm
0;-22,3
5;-21,9
10;-20,5
15;-19,5
20;-19,2
25;-19,1
30;-18,8
35;-18,7
40;-18,8
45;-19,4
50;-20,4
55;-21,5
60;-22,7
65;-23,7
70;-25,2
75;-27,2
80;-29,2
85;-31,5
90;-36,4
95;-36,1
100;-34,8
105;-34,1
110;-33,8
115;-33,4
120;-32,8
125;-33,2
130;-33,3
135;-34,2
140;-35,2
145;-37,2
150;-37,5
155;-35,9
160;-35,1
165;-37,5
170;-34,7
175;-33,8
180;-35,7
185;-38,7
190;-43,9
195;-49,9
200;-43,1
205;-36,3
210;-36,1
215;-37,8
220;-42,8
225;-45,9
230;-36,5
235;-34,7
240;-34,1
245;-33,4
250;-34,7
255;-36,6
260;-36,1
265;-35
270;-31,9
275;-31
280;-29,1
285;-29,6
290;-29,3
295;-28,3
300;-28,4
305;-29,1
310;-30,7
315;-28,8
320;-29,3
325;-29,1
330;-28,4
335;-26,6
340;-25
345;-24,3
350;-24,4
355;-24,6
360;-22,3
