Ang;dBm
0;-16,3
5;-12,9
10;-11,5
15;-11,1
20;-12,9
25;-13,1
30;-17,1
35;-20,7
40;-24,8
45;-25,4
50;-23,4
55;-21,5
60;-22,7
65;-23,7
70;-24,2
75;-24,2
80;-24,2
85;-25,5
90;-26,4
95;-27,1
100;-28,8
105;-34,1
110;-33,8
115;-33,4
120;-32,8
125;-33,2
130;-33,3
135;-34,2
140;-33,2
145;-32,2
150;-30,5
155;-25,9
160;-25,1
165;-24,1
170;-24,7
175;-25,8
180;-27,7
185;-35,7
190;-43,9
195;-49,9
200;-43,1
205;-36,3
210;-36,1
215;-37,8
220;-42,8
225;-45,9
230;-36,5
235;-34,7
240;-34,1
245;-33,4
250;-34,7
255;-36,6
260;-36,1
265;-35
270;-31,9
275;-31
280;-29,1
285;-29,6
290;-29,3
295;-28,3
300;-28,4
305;-29,1
310;-30,7
315;-28,8
320;-26,3
325;-27,1
330;-23,4
335;-24,6
340;-25
345;-26,3
350;-30,4
355;-20,6
360;-18,3
