ang;dBm
0;-23,8
5;-21,7
10;-20,8
15;-20,4
20;-19,8
25;-20,6
30;-21,4
35;-21,3
40;-20,4
45;-20,2
50;-20,6
55;-21,1
60;-25,7
65;-26,6
70;-27,4
75;-28,2
80;-30,3
85;-35,8
90;-40,8
95;-35,1
100;-30,4
105;-29,3
110;-28,5
115;-28,3
120;-27,1
125;-27,6
130;-28,1
135;-28,3
140;-28,8
145;-29,4
150;-29,6
155;-29,8
160;-31
165;-33,4
170;-36,8
175;-37,3
180;-32,2
185;-30,6
190;-31,7
195;-33,6
200;-38,7
205;-40,5
210;-38,1
215;-36,8
220;-35,7
225;-35,3
230;-35,6
235;-41,5
240;-41,5
245;-43,9
250;-40,3
255;-35,6
260;-34,3
265;-33,2
270;-31,3
275;-30,7
280;-29,5
285;-30,6
290;-28,2
295;-29,2
300;-28,2
305;-30,6
310;-34,6
315;-35,4
320;-43,2
325;-32,5
330;-29,4
335;-26,9
340;-25,9
345;-26,1
350;-30,5
355;-31,9
360;-23,8
