ang;dBm
0;-17,2
5;-19,1
10;-21,7
15;-24,2
20;-28,7
25;-29,4
30;-32,2
35;-35,8
40;-33,5
45;-31,3
50;-29,5
55;-29,9
60;-30,1
65;-30
70;-29,2
75;-30,5
80;-32,3
85;-32,4
90;-33,7
95;-35,9
100;-39,2
105;-42,6
110;-42,8
115;-42,2
120;-40,2
125;-39,4
130;-38,4
135;-38,5
140;-36,9
145;-38,4
150;-37,7
155;-37,4
160;-39,8
165;-39,4
170;-42,5
175;-45,3
180;-43,9
185;-42,9
190;-39,7
195;-38,5
200;-37,9
205;-37
210;-36,1
215;-38,9
220;-42,8
225;-49
230;-43
235;-40,3
240;-38,9
245;-38,7
250;-36,2
255;-36,1
260;-38,1
265;-36,4
270;-40,7
275;-41,9
280;-38,8
285;-37,1
290;-29,1
295;-27,4
300;-25,4
305;-25,7
310;-27,9
315;-29,9
320;-25,5
325;-23,08
330;-16,8
335;-14,3
340;-12,5
345;-11,1
350;-12,5
355;-14,1
360;-17,2
