Theta;Gain
-180;-60.056.411
-175;-76.154.965
-170;-95.711.109
-165;-12.286.438
-160;-16.310.565
-155;-19.825.859
-150;-17.334.436
-145;-1.457.672
-140;-13.442.156
-135;-13.585.151
-130;-14.665.192
-125;-1.625.152
-120;-1.756.027
-115;-17.786.198
-110;-17.106.642
-105;-16.180.057
-100;-15.281.083
-95;-14.375.931
-90;-13.349.584
-85;-12.138.392
-80;-10.790.305
-75;-9.454.133
-70;-83.335.881
-65;-76.647.108
-60;-7.743.942
-55;-90.029.508
-50;-11.717.591
-45;-11.124.964
-40;-54.513.019
-35;-11.651.197
-30;14.040.213
-25;24.263.672
-20;16.971.117
-15;-16.680.075
-10;-60.339.351
-5;15.033.341
0;6.704.554
5;95.776.828
10;10.978.465
15;11.239.956
20;10.482.733
25;86.989.782
30;57.378.115
35;12.014.728
40;-52.752.732
45;-6.638.217
50;-30.709.684
55;-13.092.596
60;-0.84928058
65;-1.175.598
70;-1.991.098
75;-3.096.345
80;-43.368.212
85;-55.836.662
90;-673.182
95;-7.709.796
100;-84.958.589
105;-91.315.195
110;-97.196.432
115;-10.400.797
120;-11.298.058
125;-12.360.822
130;-12.957.019
135;-11.940.276
140;-95.818.007
145;-71.405.739
150;-51.990.221
155;-38.822.289
160;-31.977.956
165;-31.291.641
170;-36.386.768
175;-46.429.913
180;-60.056.411
