        Theta / Degree                Gain (IEEE),Phi=0.0/

                    -180                      -6.0056411
                    -175                      -7.6154965
                    -170                      -9.5711109
                    -165                      -12.286438
                    -160                      -16.310565
                    -155                      -19.825859
                    -150                      -17.334436
                    -145                       -14.57672
                    -140                      -13.442156
                    -135                      -13.585151
                    -130                      -14.665192
                    -125                       -16.25152
                    -120                       -17.56027
                    -115                      -17.786198
                    -110                      -17.106642
                    -105                      -16.180057
                    -100                      -15.281083
                     -95                      -14.375931
                     -90                      -13.349584
                     -85                      -12.138392
                     -80                      -10.790305
                     -75                       -9.454133
                     -70                      -8.3335881
                     -65                      -7.6647108
                     -60                       -7.743942
                     -55                      -9.0029508
                     -50                      -11.717591
                     -45                      -11.124964
                     -40                      -5.4513019
                     -35                      -1.1651197
                     -30                       1.4040213
                     -25                       2.4263672
                     -20                       1.6971117
                     -15                      -1.6680075
                     -10                      -6.0339351
                      -5                       1.5033341
                       0                        6.704554
                       5                       9.5776828
                      10                       10.978465
                      15                       11.239956
                      20                       10.482733
                      25                       8.6989782
                      30                       5.7378115
                      35                       1.2014728
                      40                      -5.2752732
                      45                       -6.638217
                      50                      -3.0709684
                      55                      -1.3092596
                      60                     -0.84928058
                      65                       -1.175598
                      70                       -1.991098
                      75                       -3.096345
                      80                      -4.3368212
                      85                      -5.5836662
                      90                        -6.73182
                      95                       -7.709796
                     100                      -8.4958589
                     105                      -9.1315195
                     110                      -9.7196432
                     115                      -10.400797
                     120                      -11.298058
                     125                      -12.360822
                     130                      -12.957019
                     135                      -11.940276
                     140                      -9.5818007
                     145                      -7.1405739
                     150                      -5.1990221
                     155                      -3.8822289
                     160                      -3.1977956
                     165                      -3.1291641
                     170                      -3.6386768
                     175                      -4.6429913
                     180                      -6.0056411

