        Theta / Degree                Gain (IEEE),Phi=0.0/

                    -180                      -4.9753464
                    -175                      -7.2151855
                    -170                      -10.689656
                    -165                      -16.807901
                    -160                      -22.867158
                    -155                       -15.22067
                    -150                      -11.509013
                    -145                      -10.007465
                    -140                      -9.8179064
                    -135                      -10.543048
                    -130                      -11.882042
                    -125                      -13.446452
                    -120                      -14.710114
                    -115                      -15.288588
                    -110                      -15.258833
                    -105                      -14.895422
                    -100                      -14.326847
                     -95                      -13.537241
                     -90                      -12.488587
                     -85                       -11.20479
                     -80                      -9.7882118
                     -75                      -8.3915294
                     -70                      -7.1852802
                     -65                      -6.3455789
                     -60                      -6.0587766
                     -55                      -6.5083669
                     -50                      -7.6431884
                     -45                      -8.0016891
                     -40                      -5.4667823
                     -35                      -2.2162052
                     -30                    -0.057146047
                     -25                      0.56681071
                     -20                      -0.8532628
                     -15                      -5.3268058
                     -10                      -3.2310163
                      -5                       3.8434938
                       0                        8.005862
                       5                        10.37163
                      10                       11.473076
                      15                       11.530818
                      20                       10.622225
                      25                       8.7254674
                      30                       5.7031489
                      35                       1.2547648
                      40                      -4.5161707
                      45                       -5.957412
                      50                      -3.3362392
                      55                       -1.950674
                      60                      -1.7284322
                      65                      -2.2583686
                      70                      -3.2689514
                      75                      -4.5657825
                      80                       -5.991415
                      85                      -7.4105719
                      90                      -8.7089957
                      95                       -9.797036
                     100                      -10.615628
                     105                       -11.15399
                     110                      -11.480174
                     115                      -11.756185
                     120                      -12.206856
                     125                      -13.022993
                     130                      -14.026278
                     135                      -13.823693
                     140                      -11.274209
                     145                      -8.0843433
                     150                      -5.4809317
                     155                      -3.6738048
                     160                      -2.6299292
                     165                      -2.2875797
                     170                      -2.5873496
                     175                      -3.4819805
                     180                      -4.9753464

