        Theta / Degree                Gain (IEEE),Phi=0.0_2/

                    -180                      -12.764239
                    -175                      -13.689053
                    -170                      -17.025287
                    -165                      -17.216212
                    -160                      -13.062243
                    -155                      -10.502429
                    -150                      -9.5353384
                    -145                      -9.7027449
                    -140                      -10.703665
                    -135                       -12.27238
                    -130                      -13.846314
                    -125                      -14.070698
                    -120                      -12.245281
                    -115                      -9.6525883
                    -110                      -7.2184345
                    -105                      -5.1269909
                    -100                      -3.3451106
                     -95                      -1.8132848
                     -90                     -0.48917871
                     -85                      0.64405208
                     -80                       1.5779119
                     -75                        2.280595
                     -70                        2.700665
                     -65                       2.7741879
                     -60                       2.4454173
                     -55                       1.7333542
                     -50                      0.90593135
                     -45                      0.61985942
                     -40                       1.2160762
                     -35                       1.9477711
                     -30                         1.80706
                     -25                     -0.17611206
                     -20                      -6.2379816
                     -15                      -7.2948161
                     -10                       1.5019869
                      -5                       5.3985882
                       0                       6.9106352
                       5                       6.5615209
                      10                       4.1101409
                      15                      -1.6350107
                      20                      -2.9385728
                      25                       3.7341873
                      30                       7.1113068
                      35                        8.640132
                      40                       9.0106258
                      45                       8.5366395
                      50                       7.3894951
                      55                       5.6755244
                      60                       3.4682618
                      65                      0.82449358
                      70                      -2.1920714
                      75                      -5.4570948
                      80                      -8.6545968
                      85                      -11.148336
                      90                      -12.408213
                      95                      -12.745306
                     100                       -12.81473
                     105                      -12.978623
                     110                      -13.315557
                     115                      -13.637199
                     120                      -13.365157
                     125                      -11.930184
                     130                      -9.7075118
                     135                      -7.5250907
                     140                      -5.8754375
                     145                      -4.9886161
                     150                      -5.0376629
                     155                      -6.2693463
                     160                      -9.1856846
                     165                      -15.084148
                     170                      -21.387519
                     175                      -14.996726
                     180                      -12.764239

