        Theta / Degree                Gain (IEEE),Phi=0.0_2/

                    -180                      -6.4478915
                    -175                      -6.7075063
                    -170                       -9.211517
                    -165                      -11.026398
                    -160                      -7.8037298
                    -155                      -4.9160819
                    -150                      -3.6646581
                    -145                      -3.6927185
                    -140                       -4.579075
                    -135                      -5.6591371
                    -130                      -6.0052232
                    -125                      -5.3743357
                    -120                      -4.4077207
                    -115                       -3.563875
                    -110                      -2.9057744
                    -105                      -2.3298098
                    -100                      -1.7139117
                     -95                     -0.99178684
                     -90                     -0.17626806
                     -85                      0.66088441
                     -80                       1.4234767
                     -75                       2.0117392
                     -70                       2.3276679
                     -65                       2.2767901
                     -60                       1.7889338
                     -55                       0.9159619
                     -50                      0.11121435
                     -45                      0.30037924
                     -40                       1.5358933
                     -35                       2.6829734
                     -30                       2.8420362
                     -25                       1.3252695
                     -20                      -3.4465846
                     -15                      -18.404141
                     -10                       -1.962833
                      -5                       2.9125351
                       0                       4.4835496
                       5                       3.7071034
                      10                     0.056819309
                      15                      -6.5952663
                      20                      0.26597249
                      25                         5.26708
                      30                       7.7028792
                      35                       8.6930971
                      40                       8.6957445
                      45                       7.9487686
                      50                       6.6049418
                      55                       4.7855166
                      60                       2.6122579
                      65                      0.23293808
                      70                       -2.155713
                      75                      -4.3145643
                      80                      -6.0277033
                      85                      -7.1931539
                      90                      -7.8366198
                      95                       -8.052197
                     100                      -7.9646154
                     105                      -7.7231932
                     110                      -7.4810816
                     115                      -7.3494183
                     120                      -7.3220653
                     125                      -7.1685516
                     130                      -6.4737941
                     135                      -5.1332139
                     140                      -3.6346435
                     145                      -2.5671568
                     150                      -2.3421304
                     155                      -3.3291026
                     160                      -6.1699751
                     165                      -12.795429
                     170                      -17.234183
                     175                      -9.0675509
                     180                      -6.4478915

